,sentence,label
10662,"User-friendly website, easy to navigate and order.",0
10663,"The package was lost in transit., definitely recommend.",0
10664,"Had issues with the payment gateway., will shop here again.",0
10665,"Excellent quality, highly recommend this seller., definitely recommend.",1
10666,"Fantastic deal, very happy with my purchase., will shop here again.",0
10667,"Fast checkout process, user-friendly interface.",0
10668,"Excellent quality, highly recommend this seller., will shop here again.",1
10669,Very responsive customer support.,1
10670,"Fast checkout process, user-friendly interface., not satisfied.",0
10671,The size is not as described.,0
10672,"The package was lost in transit., will shop here again.",1
10673,"User-friendly website, easy to navigate and order., definitely recommend.",1
10674,Product exceeded my expectations.,0
10675,"Great product, fast shipping!, not satisfied.",0
10676,"Product works well, would buy again., not satisfied.",0
10677,"Great product, fast shipping!, not satisfied.",0
10678,"The size is not as described., not satisfied.",0
10679,"The size is not as described., definitely recommend.",0
10680,"The package was lost in transit., definitely recommend.",1
10681,"The color is slightly different from the pictures., will shop here again.",0
10682,"Great product, fast shipping!, not satisfied.",0
10683,"Very responsive customer support., not satisfied.",1
10684,"Excellent value for money., not satisfied.",1
10685,"Product did not match the description., definitely recommend.",0
10686,"The package was lost in transit., will shop here again.",1
10687,"User-friendly website, easy to navigate and order., not satisfied.",1
10688,Not worth the price.,1
10689,"Excellent quality, highly recommend this seller., will shop here again.",0
10690,"Excellent value for money., not satisfied.",0
10691,"Product did not match the description., will shop here again.",1
10692,"Fantastic deal, very happy with my purchase., definitely recommend.",0
10693,"Fast checkout process, user-friendly interface., definitely recommend.",0
10694,"Product works well, would buy again.",1
10695,"Received a damaged item, but got a full refund., will shop here again.",0
10696,"Excellent quality, highly recommend this seller., will shop here again.",1
10697,"Excellent quality, highly recommend this seller., definitely recommend.",0
10698,"Product works well, would buy again.",1
10699,"Not worth the price., definitely recommend.",0
10700,"Poor customer service, will not buy again., definitely recommend.",1
10701,"Not worth the price., not satisfied.",1
10702,The color is slightly different from the pictures.,0
10703,"Product works well, would buy again., definitely recommend.",1
10704,"Fantastic deal, very happy with my purchase., definitely recommend.",1
10705,"Received a damaged item, but got a full refund., definitely recommend.",1
10706,"Great product, fast shipping!, not satisfied.",1
10707,"Very responsive customer support., definitely recommend.",1
10708,Excellent value for money.,0
10709,"Fast checkout process, user-friendly interface., definitely recommend.",0
10710,"The package was lost in transit., not satisfied.",0
10711,"Poor customer service, will not buy again., definitely recommend.",0
10712,"The color is slightly different from the pictures., will shop here again.",1
10713,"Received a damaged item, but got a full refund., will shop here again.",0
10714,"The color is slightly different from the pictures., will shop here again.",1
10715,"Product works well, would buy again., will shop here again.",0
10716,Not worth the price.,0
10717,"User-friendly website, easy to navigate and order.",1
10718,"Had issues with the payment gateway., will shop here again.",1
10719,"Received a damaged item, but got a full refund., not satisfied.",1
10720,"Received a different item than what I ordered., will shop here again.",1
10721,"Product exceeded my expectations., definitely recommend.",1
10722,"Very responsive customer support., will shop here again.",1
10723,"Great product, fast shipping!, definitely recommend.",1
10724,"Long delivery time, but worth the wait., definitely recommend.",1
10725,"Product works well, would buy again., will shop here again.",0
10726,"User-friendly website, easy to navigate and order., will shop here again.",1
10727,"User-friendly website, easy to navigate and order., will shop here again.",1
10728,"The package was lost in transit., definitely recommend.",0
10729,"Received a damaged item, but got a full refund., will shop here again.",1
10730,"Excellent quality, highly recommend this seller., will shop here again.",1
10731,"Excellent quality, highly recommend this seller., will shop here again.",0
10732,"Very responsive customer support., definitely recommend.",1
10733,"Great product, fast shipping!, definitely recommend.",0
10734,"Received a different item than what I ordered., will shop here again.",0
10735,"Product works well, would buy again., not satisfied.",1
10736,"Product exceeded my expectations., will shop here again.",1
10737,"Poor customer service, will not buy again., not satisfied.",1
10738,"Poor customer service, will not buy again.",1
10739,"Long delivery time, but worth the wait.",1
10740,Had issues with the payment gateway.,1
10741,The size is not as described.,1
10742,"Poor customer service, will not buy again., not satisfied.",0
10743,"Poor customer service, will not buy again., not satisfied.",0
10744,"Received a different item than what I ordered., definitely recommend.",1
10745,"Order arrived late, but the product is good.",0
10746,"Very responsive customer support., definitely recommend.",0
10747,"The color is slightly different from the pictures., will shop here again.",0
10748,"User-friendly website, easy to navigate and order., definitely recommend.",0
10749,"The color is slightly different from the pictures., not satisfied.",1
10750,"The size is not as described., will shop here again.",0
10751,"Had issues with the payment gateway., will shop here again.",1
10752,"Great product, fast shipping!, not satisfied.",0
10753,"Excellent value for money., will shop here again.",0
10754,"Excellent quality, highly recommend this seller., definitely recommend.",0
10755,"Received a damaged item, but got a full refund., not satisfied.",1
10756,"Poor customer service, will not buy again., definitely recommend.",0
10757,Very responsive customer support.,0
10758,"User-friendly website, easy to navigate and order., will shop here again.",0
10759,"Not worth the price., definitely recommend.",1
10760,"Excellent value for money., definitely recommend.",0
10761,"Excellent quality, highly recommend this seller., not satisfied.",1
10762,"Received a damaged item, but got a full refund., not satisfied.",0
10763,"Very responsive customer support., will shop here again.",1
10764,"Received a damaged item, but got a full refund.",1
10765,"Product works well, would buy again., not satisfied.",0
10766,"Fast checkout process, user-friendly interface., will shop here again.",1
10767,"Excellent quality, highly recommend this seller., will shop here again.",1
10768,"Fast checkout process, user-friendly interface., will shop here again.",0
10769,"The size is not as described., will shop here again.",0
10770,"Not worth the price., not satisfied.",1
10771,"Product works well, would buy again., definitely recommend.",1
10772,"Excellent value for money., not satisfied.",0
10773,Product did not match the description.,0
10774,"Had issues with the payment gateway., will shop here again.",1
10775,"Poor customer service, will not buy again.",1
10776,"Very responsive customer support., will shop here again.",0
10777,"Great product, fast shipping!, will shop here again.",1
10778,"User-friendly website, easy to navigate and order., not satisfied.",0
10779,"Had issues with the payment gateway., will shop here again.",1
10780,"Product works well, would buy again., not satisfied.",1
10781,"Received a damaged item, but got a full refund., will shop here again.",0
10782,"Had issues with the payment gateway., will shop here again.",1
10783,Very responsive customer support.,1
10784,Product exceeded my expectations.,1
10785,"Not worth the price., not satisfied.",0
10786,"Excellent quality, highly recommend this seller.",1
10787,"Excellent quality, highly recommend this seller., definitely recommend.",1
10788,Product exceeded my expectations.,0
10789,"Fast checkout process, user-friendly interface., will shop here again.",1
10790,"Long delivery time, but worth the wait., will shop here again.",1
10791,"Excellent quality, highly recommend this seller., not satisfied.",0
10792,"Excellent quality, highly recommend this seller., will shop here again.",1
10793,"Very responsive customer support., definitely recommend.",0
10794,"Poor customer service, will not buy again., definitely recommend.",1
10795,"Fast checkout process, user-friendly interface., definitely recommend.",1
10796,"The size is not as described., not satisfied.",0
10797,"Product did not match the description., definitely recommend.",0
10798,"Order arrived late, but the product is good.",1
10799,"Fantastic deal, very happy with my purchase., will shop here again.",0
10800,"Very responsive customer support., will shop here again.",0
10801,"Received a damaged item, but got a full refund., not satisfied.",0
10802,"Great product, fast shipping!, definitely recommend.",0
10803,"Fast checkout process, user-friendly interface., will shop here again.",0
10804,"Product works well, would buy again., definitely recommend.",1
10805,"Long delivery time, but worth the wait., not satisfied.",0
10806,"Not worth the price., will shop here again.",1
10807,"Product works well, would buy again.",0
10808,"Long delivery time, but worth the wait., not satisfied.",0
10809,"Received a different item than what I ordered., not satisfied.",0
10810,"Long delivery time, but worth the wait., will shop here again.",1
10811,"The size is not as described., definitely recommend.",1
10812,"Poor customer service, will not buy again., definitely recommend.",1
10813,"Received a different item than what I ordered., will shop here again.",0
10814,"Product exceeded my expectations., will shop here again.",0
10815,"Order arrived late, but the product is good.",1
10816,"Excellent value for money., will shop here again.",0
10817,"Not worth the price., not satisfied.",1
10818,"Fast checkout process, user-friendly interface., not satisfied.",0
10819,"Product works well, would buy again., definitely recommend.",1
10820,"Long delivery time, but worth the wait.",0
10821,"Product did not match the description., will shop here again.",1
10822,"Excellent quality, highly recommend this seller., not satisfied.",0
10823,"Great product, fast shipping!, definitely recommend.",0
10824,"Product exceeded my expectations., not satisfied.",1
10825,"Product works well, would buy again.",0
10826,"Received a damaged item, but got a full refund., not satisfied.",0
10827,"Fast checkout process, user-friendly interface., not satisfied.",1
10828,"Product works well, would buy again., definitely recommend.",0
